date (YYYY-MM-DD),fly_time,fly_cost,fuel consumption litres,fuel consumption cost kDKK,day cost per all people,last activity
total,0,0,0,0,0,
grand total (MDKK),0.0,,,,,
grand total incl. quarantine (MDKK),0.075,,,,,
